,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Expected Delivery,Availability,Returns/Exchange,Other Details
0,Visit the Kadence Store,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys,Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo, Tuner (black & stand)",,378 ratings,"₹ 5,999.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 1 hr and 36 mins Details",In stock.,7 Days Replacement,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
Package Details:1 pack of Strings, picks, turner, foldable guitar stand, bag, strap and capo
ELECTRO-ACOUSTIC---Built-in preamp for amplified use with volume control, 4 band EQ: bass and treble, integrated tuner for fast and easy tuning.
› See more product details"
1,Visit the Kadence Store,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo and Fibre guitar stand (Black Spruce Wood)",,100 ratings,"₹ 10,999.00","FREE delivery: Friday, April 23 Details",Only 1 left in stock.,7 Days Replacement,"QUALITY STRINGS ---The surface is coated with a film coating, which is not easy to rust, which prolongs the use time of the strings and reduces the burden on the fingers when pressing the strings.
DESIGN --- The Deep Pore paint finish, Simple head design, streamlined curvature makes the head and the body integrated, beautiful. The rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
SIZE (41 inch)---Suitable for the guitarist over 14 years old, especially the beginners, students or adults.
ADJUSTABLE ACTION----Built-in truss rod can balanced the tension caused by strings or temperature change shrinking, for a straight and durable neck. The adjustable acoustic guitar neck allows your hand to stay in a comfortable position by keeping the strings in a perfect height.
With Combo, Heavy Padded Bag, Pro Capo and Fiber Body Stand
ALL ACCESSORIES INCLUDED---Kadence Slowhand Guitar comes with zipped padded bag, in-built tunner, adjustable guitar strap, extra strings, 3 guitar picks, capo, foldable guitar stand and a Guitar cable.
PROTECTIVE PADDED bag---Take your guitar with you to school or on trips with a stylish and protective carrying case, designed with foam pads, a shock-proof rubber bottom, and even a front storage for your capo and extra picks
› See more product details"
2,Visit the Guitar Bro Store,"GUITAR BRO - COMBO (Blue Acoustic Guitar for Beginner, Guitar Learning Kit, Song Book, Video Lectures, Accessories like Pick, Bag)",,18 ratings,"₹ 6,499.00","FREE delivery: May 6 - 10 Details
Fastest delivery: May 5 - 8 Details",In stock.,7 Days Replacement,"GUITAR BRO +20 mins FREE VIDEO Demo - is a learning kit which includes proprietary gadget, video lectures & songbook
LIDEN WOOD GUITAR - A 39-inch acoustic guitar for beginners. With warm sound and quality strings, guitar picks and accessories, this is suitable for learners
COMPATIBLE AND EASY TO FIT - Learning kit can be used for standard size 38-inch guitars, 39-inch guitars both acoustic and semi-acoustic. It is only for Right Handed players and compatible with an acoustic guitar for men, women, kids above 10 years or adults who need self-learning methods. It does not work on nylon string guitars but only on acoustic guitar strings made of steel.
SELF LEARNING KIT - Learn Guitar At Home, At Your Own Time. Learn chords and play songs.
WHAT DO YOU LEARN - The online guitar course will teach you from very basic things like how to hold a guitar, How to tune a guitar without using a tuner, How to use a metronome, how to install the Guitar Bro Tool to advance things like strumming and chords.
› See more product details"
3,Visit the Guitar Bro Store,"GUITAR BRO - Guitar Learning Combo (30 Day Learning Kit + 4 Live 1-on-1 Classes (each class is 20 mins, Access Key Inside the Kit), Acoustic Guitars Accessories, Picks, Songbook, Videos)",,6 ratings,"₹ 2,499.00","FREE delivery: Wednesday, May 5 Details",In stock.,7 Days Replacement,"30 Day Learning Kit
Acoustic Guitars Accessories, Picks, Songbook, Videos
Each class is 20 mins
› See more product details"
4,Visit the JUAREZ Store,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black",,"8,818 ratings","₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings"
5,Visit the JUAREZ Store,"Juarez JRZ38C Acoustic Guitar, 38 Inch Cutaway with Bag (TBS Transparent Blue Sunburst)",,"3,021 ratings","₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Black glossy finish, number of frets: 18, acoustic guitar with strap, bag, strings and 2 picks
Great looks with an innovative design to produce good quality sound
Finger board: Linden wood, fretboard - Ebony wood, size: 38 inches, cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings
An able acoustic guitar, its neck material is made from Linden Wood, bridge material is made from plastic, finger board and back material is made from Linden Wood, string is made from nylon, and sides material is made from Linden"
6,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black",,"5,052 ratings","₹ 2,490.00","FREE delivery: Wednesday, April 21 Details
Fastest delivery: Tomorrow
Order within 1 hr and 5 mins Details",In stock.,7 Days Replacement,"About this item
Great looks with an innovative design to produce good quality sound
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Black glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings.
Bridge material: Plastic
Note: Product design may slightly vary
Linden binding and full wood construction with geared tuning, wood frame and steel strings ; Natural glossy finish with 18 frets"
7,Visit the Kadence Store,"Kadence Frontier Series,Black Semi Acoustic Guitar With Die Cast Keys (Bag,Strap,Strings And 3 Picks Stand)",,268 ratings,"₹ 5,299.00","FREE delivery: Friday, April 23 Details
Fastest delivery: Wednesday, April 21
Order within 1 hr and 35 mins Details",In stock.,7 Days Replacement,"Product Type : Semi Acoustic Guitar(With Equalizer and Pickup)
Fretboard material:Rosewood, Number of strings:6
Package Details:1 pack of Strings, bag, strap and picks
Body material:Spruce Wood String Type : Roundwound Strings,String Gauge : Stainless Steel
› See more product details"
8,Visit the JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black",,722 ratings,"₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Jumbo Design, 38 Inch Acoustic Steel String Guitar, Black Glossy Finish, Number of Frets: 18
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings
Great looks with an innovative design to produce good quality sound
Package Includes : Acoustic Guitar with strap, Bag, Strings and 2 Picks"
9,Visit the JUAREZ Store,"JUAREZ JRZ38C Right Handed Acoustic Guitar (Sunburst, 6 Strings)",,"3,217 ratings","₹ 2,499.00","FREE delivery: Saturday, April 24 Details",In stock.,7 Days Replacement,"About this item
Number of Frets: 18
Acoustic guitar with strap, bag, strings and 2 picks
Great looks with an innovative design to produce good quality sound
Finger Board: Linden wood
Fretboard: Ebony wood
Size: 38 inches, cutaway
Linden binding and full wood construction with geared tuning, wood frame and steel strings
Country of Origin: China"
