,Brand Name,Smart Phone Name,Color,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor Core,Battery Capacity,Price,Product URL
0,Google Mobiles,"Google Pixel 4a (Just Black, 128 GB)  (6 GB RAM)",Just Black,6 GB,128 GB,12.2MP Rear Camera , 8MP Front Camera,14.76 cm (5.81 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 730G,Octa Core,3140 mAh,"₹31,999",https://www.flipkart.com/google-pixel-4a-just-black-128-gb/p/itm023b9677aa45d?pid=MOBFUSBNAZGY7HQU&lid=LSTMOBFUSBNAZGY7HQUWHTF0C&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFUSBNAZGY7HQU.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
1,LG Mobiles,"LG G8X (Black, 128 GB)  (6 GB RAM)",Black,6 GB,128 GB,12MP + 13MP , 32MP Front Camera,16.26 cm (6.4 inch),2340 x 1080 pixel,Qualcomm Snapdragon™ 855 Octa-core (up to 2.84 GHz x 1 + 2.42 GHz x 3 + 1.79 GHz x 4),Octa Core,4000 mAh,"₹25,990",https://www.flipkart.com/lg-g8x-black-128-gb/p/itme8a4f5f473aa4?pid=MOBFZKQWFRFMHKQK&lid=LSTMOBFZKQWFRFMHKQKVOP4L4&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFZKQWFRFMHKQK.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
2,Mi Mobiles,"Redmi 9 Prime (Matte Black, 64 GB)  (4 GB RAM)",Matte Black,4 GB,64 GB,13MP Rear Camera , 8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,MediaTek Helio G80,Octa Core,5020 mAh,"₹9,499",https://www.flipkart.com/redmi-9-prime-matte-black-64-gb/p/itmbaf295a5663c2?pid=MOBFUSCC57HCZGKG&lid=LSTMOBFUSCC57HCZGKGQ6TSNL&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFUSCC57HCZGKG.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
3,REDMI Mobiles,"REDMI 9 Power (Electric Green, 64 GB)  (4 GB RAM)",Electric Green,4 GB,64 GB,48MP Rear Camera , 8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080,Qualcomm Snapdragon 662,Octa Core,6000 mAh,"₹10,499",https://www.flipkart.com/redmi-9-power-electric-green-64-gb/p/itm3e12ae178efdf?pid=MOBFYZ7AVAXXB2TH&lid=LSTMOBFYZ7AVAXXB2THVSNL0U&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFYZ7AVAXXB2TH.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
4,REDMI Mobiles,"REDMI 9 Power (Mighty Black, 128 GB)  (6 GB RAM)",Mighty Black,6 GB,128 GB,48MP Rear Camera , 8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080,Qualcomm® Snapdragon™ 662,Octa Core,6000 mAh,"₹12,999",https://www.flipkart.com/redmi-9-power-mighty-black-128-gb/p/itm74c84b4084cc5?pid=MOBGYMD9AVZZH9WX&lid=LSTMOBGYMD9AVZZH9WXVMYAUI&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBGYMD9AVZZH9WX.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
5,REDMI Mobiles,"REDMI Note 9 (Shadow Black, 64 GB)  (4 GB RAM)",Shadow Black,4 GB,64 GB,48MP Rear Camera,-,16.59 cm (6.53 inch),2340 x 1080,MediaTek Helio G85,Octa Core,5020 mAh,"₹10,999",https://www.flipkart.com/redmi-note-9-shadow-black-64-gb/p/itm70628269ecd57?pid=MOBFXEPZM4DX89AQ&lid=LSTMOBFXEPZM4DX89AQLO98VX&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFXEPZM4DX89AQ.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
6,Mi Mobiles,"Redmi 9 Prime (Space Blue, 128 GB)  (4 GB RAM)",Space Blue,4 GB,128 GB,13MP Rear Camera , 8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,MediaTek Helio G80,Octa Core,5020 mAh,"₹10,999",https://www.flipkart.com/redmi-9-prime-space-blue-128-gb/p/itm6411204254eba?pid=MOBFUT9YYVEXJHF2&lid=LSTMOBFUT9YYVEXJHF22XI9OE&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFUT9YYVEXJHF2.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
7,Mi Mobiles,"Redmi Note 9 Pro (Interstellar Black, 128 GB)  (4 GB RAM)",Interstellar Black,4 GB,128 GB,48MP + 8MP , 16MP Front Camera,16.94 cm (6.67 inch),2400 x 1080,Qualcomm Snapdragon 720G,Octa Core,5020 mAh,"₹14,385",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itm0418537d115ba?pid=MOBFUZYNSYP64TQK&lid=LSTMOBFUZYNSYP64TQKXABHQL&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFUZYNSYP64TQK.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
8,Mi Mobiles,"Redmi 9 (Sky Blue, 64 GB)  (4 GB RAM)",Sky Blue,4 GB,64 GB,13MP + 2MP , 5MP Front Camera,16.59 cm (6.53 inch),720 x 1600,MediaTek Helio G35,-,5000 mAh,"₹8,999",https://www.flipkart.com/redmi-9-sky-blue-64-gb/p/itm4fb151383983b?pid=MOBFV5FPUS8UHG9H&lid=LSTMOBFV5FPUS8UHG9HTXSE9J&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFV5FPUS8UHG9H.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
9,Mi Mobiles,"Redmi 9A (SeaBlue, 32 GB)  (2 GB RAM)",SeaBlue,2 GB,32 GB,13MP Rear Camera,-,16.59 cm (6.53 inch),720 x 1600,-,Octa Core,5000 mAh,"₹7,174",https://www.flipkart.com/redmi-9a-seablue-32-gb/p/itmeabd39a0cd669?pid=MOBFVD9ZGTYR2WGR&lid=LSTMOBFVD9ZGTYR2WGRSIEWTC&marketplace=FLIPKART&q=pixel+4a&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=f7f60270-b5e1-4438-a438-39c906603de8.MOBFVD9ZGTYR2WGR.SEARCH&ppt=hp&ppn=homepage&ssid=nncwge8wuo0000001618935640985&qH=614b192c242ae032
